indicator_code,indicator_name,indicator_url,year,region,country,numeric_raw,value
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2009.0,South-East Asia,Bhutan,0.0,0.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2007.0,South-East Asia,Bhutan,0.0,0.0
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1999.0,South-East Asia,Bhutan,68.0,68.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2012.0,South-East Asia,Bhutan,0.0,0.0
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-standardized-deaths-attributable-to-the-environment-%28per-100-000-population%29-,2012.0,South-East Asia,Bhutan,224.72972,225.0
GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/external-health-expenditure-%28ext%29-per-capita-in-us,2005.0,South-East Asia,Bhutan,8.89864077,8.9
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-general-government-health-expenditure-%28gghe-d%29-as-percentage-of-general-government-expenditure-%28gge%29,2000.0,South-East Asia,Bhutan,7.66199493,7.66
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2021.0,South-East Asia,Bhutan,0.97,0.97
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002.0,South-East Asia,Bhutan,1.90335,1.9
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adult-mortality-rate-%28probability-of-dying-between-15-and-60-years-per-1000-population%29,2020.0,South-East Asia,Bhutan,126.6517463,127.0
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2015.0,South-East Asia,Bhutan,48.2142,48.0
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2014.0,South-East Asia,Bhutan,90.0,90.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006.0,South-East Asia,Bhutan,4.82434,4.8
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2023.0,South-East Asia,Bhutan,4.9,4.9
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000.0,South-East Asia,Bhutan,20.77042,20.8
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-drinking-water-services-%28-%29,2003.0,South-East Asia,Bhutan,85.75393,86.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2001.0,South-East Asia,Bhutan,19.21919,19.2
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005.0,South-East Asia,Bhutan,8.596156657,9.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2014.0,South-East Asia,Bhutan,11.71972,11.7
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ncd-deaths-under-age-70-%28percent-of-all-ncd-deaths%29,2021.0,South-East Asia,Bhutan,46.039104462,46.0
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ncd-deaths-under-age-70-%28percent-of-all-ncd-deaths%29,2003.0,South-East Asia,Bhutan,60.087509155,60.0
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2021.0,South-East Asia,Bhutan,435.0,435.0
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/polio-%28pol3%29-immunization-coverage-among-1-year-olds-%28-%29,2021.0,South-East Asia,Bhutan,98.0,98.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2003.0,South-East Asia,Bhutan,65.794012672,66.0
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2019.0,South-East Asia,Bhutan,76.55467,77.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2011.0,South-East Asia,Bhutan,0.0,0.0
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles-containing-vaccine-first-dose-%28mcv1%29-immunization-coverage-among-1-year-olds-%28-%29,2001.0,South-East Asia,Bhutan,78.0,78.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2016.0,South-East Asia,Bhutan,0.21418,0.2
WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-basic-handwashing-facilities-at-home-%28-%29,2011.0,South-East Asia,Bhutan,80.59157,81.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2016.0,South-East Asia,Bhutan,3.75301,3.8
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2014.0,South-East Asia,Bhutan,0.04027,0.0
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2014.0,South-East Asia,Bhutan,191.0,191.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2017.0,South-East Asia,Bhutan,8.19539,8.2
GHED_OOP_pc_US_SHA2011,Out-of-pocket expenditure (OOP) per capita in US$,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/out-of-pocket-expenditure-%28oop%29-per-capita-in-us,2014.0,South-East Asia,Bhutan,18.45947498,18.46
WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/diphtheria---number-of-reported-cases,1979.0,South-East Asia,Bhutan,4.0,4.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007.0,South-East Asia,Bhutan,1.3564,1.4
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2015.0,South-East Asia,Bhutan,82.81165,83.0
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-general-government-health-expenditure-%28gghe-d%29-as-percentage-of-gross-domestic-product-%28gdp%29-%28-%29,2009.0,South-East Asia,Bhutan,2.43460202,2.43
MALARIA_IMPORTED,Number of imported malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-imported-malaria-cases,2017.0,South-East Asia,Bhutan,38.0,38.0
DEVICES03,Total density per 100 000 population: District/rural hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-district-rural-hospitals,2013.0,South-East Asia,Bhutan,1.32635,1.33
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2012.0,South-East Asia,Bhutan,2.473,2.5
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2022.0,South-East Asia,Bhutan,100.0,100.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009.0,South-East Asia,Bhutan,45.31762,45.3
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2017.0,South-East Asia,Bhutan,82.39187,82.0
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2008.0,South-East Asia,Bhutan,7.0,7.0
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-index-of-service-coverage,2005.0,South-East Asia,Bhutan,36.52815,37.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011.0,South-East Asia,Bhutan,2.78336,2.8
GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-general-government-health-expenditure-%28gghe-d%29-per-capita-in-us,2002.0,South-East Asia,Bhutan,25.81509331,25.82
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2004.0,South-East Asia,Bhutan,41.03913,41.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012.0,South-East Asia,Bhutan,0.06988,0.1
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2006.0,South-East Asia,Bhutan,1.95458,2.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2009.0,South-East Asia,Bhutan,6.98678,7.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2016.0,South-East Asia,Bhutan,23.865859022,24.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2001.0,South-East Asia,Bhutan,36.935234463,37.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015.0,South-East Asia,Bhutan,0.0344,0.0
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2013.0,South-East Asia,Bhutan,62.72985,63.0
WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/diphtheria---number-of-reported-cases,1999.0,South-East Asia,Bhutan,142.0,142.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002.0,South-East Asia,Bhutan,1.20225,1.2
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006.0,South-East Asia,Bhutan,0.00517,0.0
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,1987.0,South-East Asia,Bhutan,5.2,5.2
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000.0,South-East Asia,Bhutan,4.66356,4.7
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010.0,South-East Asia,Bhutan,0.0,0.0
WHS3_43,Pertussis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases,2009.0,South-East Asia,Bhutan,0.0,0.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021.0,South-East Asia,Bhutan,12.85714,12.9
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis-b-%28hepb3%29-immunization-coverage-among-1-year-olds-%28-%29,2000.0,South-East Asia,Bhutan,98.0,98.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008.0,South-East Asia,Bhutan,3.48776,3.5
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2023.0,South-East Asia,Bhutan,1.3,1.3
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-a-relative-poverty-line-by-household-health-expenditures-60-of-median-daily-per-capita-consumption-or-income,2012.0,South-East Asia,Bhutan,3.4,3.4
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006.0,South-East Asia,Bhutan,0.03259,0.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008.0,South-East Asia,Bhutan,0.13123,0.1
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2021.0,South-East Asia,Bhutan,5.61,5.61
GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-general-government-health-expenditure-%28gghe-d%29-per-capita-in-us,2003.0,South-East Asia,Bhutan,25.69859652,25.7
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2005.0,South-East Asia,Bhutan,2.56029,2.6
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2013.0,South-East Asia,Bhutan,0.001537159,0.0
GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-private-health-expenditure-%28pvt-d%29-per-capita-in-usd,2019.0,South-East Asia,Bhutan,22.52724849,22.53
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-drinking-water-services-%28-%29,2009.0,South-East Asia,Bhutan,91.95755,92.0
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ncd-deaths-under-age-70-%28percent-of-all-ncd-deaths%29,2020.0,South-East Asia,Bhutan,44.957015991,45.0
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2010.0,South-East Asia,Bhutan,18.56068,19.0
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2007.0,South-East Asia,Bhutan,21.0,21.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2012.0,South-East Asia,Bhutan,31.54338,31.5
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012.0,South-East Asia,Bhutan,0.5963,0.6
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles-containing-vaccine-second-dose-%28mcv2%29-immunization-coverage-by-the-nationally-recommended-age-%28-%29,2003.0,South-East Asia,Bhutan,0.0,0.0
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/suicide-mortality-rate-%28sdg-3.4.2%29,2021.0,South-East Asia,Bhutan,5.270094872,5.3
WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/diphtheria---number-of-reported-cases,1978.0,South-East Asia,Bhutan,6.0,6.0
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2023.0,South-East Asia,Bhutan,2.3,2.3
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2018.0,South-East Asia,Bhutan,54.57317,55.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009.0,South-East Asia,Bhutan,49.29057,49.3
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020.0,South-East Asia,Bhutan,16.0012,16.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015.0,South-East Asia,Bhutan,10.63608,10.6
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2014.0,South-East Asia,Bhutan,0.12913,0.1
Adult_curr_tob_use,Prevalence of current tobacco use among adults (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/most-recent-nationally-representative-survey-reporting-prevalence-of-tobacco-use-or-smoking-among-adults,2019.0,South-East Asia,Bhutan,23.9,23.9
Yth_curr_smokeless,Prevalence of current smokeless tobacco use among adolescents (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-survey-reporting-prevalence-of-smokeless-tobacco-use-or-e-cigarette-use-among-adolescents,2019.0,South-East Asia,Bhutan,8.1,8.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2007.0,South-East Asia,Bhutan,0.18416,0.2
W_Group,Warning about the dangers of tobacco,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warn-about-the-dangers-of-tobacco,2008.0,South-East Asia,Bhutan,,2.0
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2014.0,South-East Asia,Bhutan,244.0,244.0
P_Group,Protecting people from tobacco smoke,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-protect-people-from-tobacco-smoke,2010.0,South-East Asia,Bhutan,,5.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006.0,South-East Asia,Bhutan,0.70707,0.7
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005.0,South-East Asia,Bhutan,40.72981,40.7
FINPROTECTION_IMP_NP215_POP,"Population pushed below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-below-the-2.15-a-day-poverty-line-by-household-health-expenditures-%28percent--national--rural--urban%29,2003.0,South-East Asia,Bhutan,0.78,0.78
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1978.0,South-East Asia,Bhutan,0.49,0.49
FINPROTECTION_IMP_P190_POP,"Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-the-1.90-a-day-poverty-line-by-household-health-expenditures,2017.0,South-East Asia,Bhutan,0.27,0.27
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2007.0,South-East Asia,Bhutan,0.08826,0.1
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015.0,South-East Asia,Bhutan,0.0,0.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008.0,South-East Asia,Bhutan,0.719352649,1.0
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2012.0,South-East Asia,Bhutan,40.89976,41.0
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonates-protected-at-birth-against-neonatal-tetanus-%28pab%29-%28-%29,2019.0,South-East Asia,Bhutan,90.0,90.0
FINPROTECTION_IMP_P310_POP,"Population pushed further below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-the-3.20-a-day-poverty-line-by-household-health-expenditures,2012.0,South-East Asia,Bhutan,1.96,1.96
P_Group,Protecting people from tobacco smoke,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-protect-people-from-tobacco-smoke,2008.0,South-East Asia,Bhutan,,4.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2014.0,South-East Asia,Bhutan,9.480534732,9.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011.0,South-East Asia,Bhutan,43.714116014,44.0
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1986.0,South-East Asia,Bhutan,0.0,0.0
WHS3_56,Neonatal tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-tetanus---number-of-reported-cases,1990.0,South-East Asia,Bhutan,1.0,1.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012.0,South-East Asia,Bhutan,0.03296,0.0
WHS3_50,Yellow fever - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/yellow-fever-number-of-reported-cases,2011.0,South-East Asia,Bhutan,0.0,0.0
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,1991.0,South-East Asia,Bhutan,441.0,441.0
